	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16015	protein DETOXIFICATION 35	1473	20	2.14E-280	87.03	7	P:GO:0009555; P:GO:0009812; P:GO:0009901; P:GO:1990961; F:GO:0015297; F:GO:0042910; C:GO:0016020	P:pollen development; P:flavonoid metabolic process; P:anther dehiscence; P:xenobiotic detoxification by transmembrane export across the plasma membrane; F:antiporter activity; F:xenobiotic transmembrane transporter activity; C:membrane			IPR002528 (PFAM); IPR002528 (NCBIFAM); PTHR11206 (PANTHER); IPR045069 (CDD)	P:GO:0055085; P:GO:1990961; F:GO:0015297; F:GO:0042910; C:GO:0016020	P:transmembrane transport; P:xenobiotic detoxification by transmembrane export across the plasma membrane; F:antiporter activity; F:xenobiotic transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g16016	protein DETOXIFICATION 35	1509	4	0.0	97.57	4	P:GO:1990961; F:GO:0015297; F:GO:0042910; C:GO:0016020	P:xenobiotic detoxification by transmembrane export across the plasma membrane; F:antiporter activity; F:xenobiotic transmembrane transporter activity; C:membrane			IPR002528 (PFAM); IPR002528 (NCBIFAM); PTHR11206 (PANTHER); IPR045069 (CDD)	P:GO:0055085; P:GO:1990961; F:GO:0015297; F:GO:0042910; C:GO:0016020	P:transmembrane transport; P:xenobiotic detoxification by transmembrane export across the plasma membrane; F:antiporter activity; F:xenobiotic transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16017	rRNA 2'-O-methyltransferase fibrillarin 2	309	20	5.53E-60	98.96	9	P:GO:0000494; P:GO:0006338; P:GO:0031167; F:GO:0003723; F:GO:0008649; F:GO:1990259; C:GO:0016020; C:GO:0031428; C:GO:0032040	P:box C/D sno(s)RNA 3'-end processing; P:chromatin remodeling; P:rRNA methylation; F:RNA binding; F:rRNA methyltransferase activity; F:histone H2AQ104 methyltransferase activity; C:membrane; C:box C/D methylation guide snoRNP complex; C:small-subunit processome	EC:2.1.1	Transferring one-carbon groups	IPR000692 (PRINTS); IPR000692 (PFAM); IPR029063 (G3DSA:3.40.50.GENE3D); PTHR10335 (PANTHER); IPR029063 (SUPERFAMILY)	P:GO:0000494; P:GO:0006364; P:GO:0031167; F:GO:0003723; F:GO:0008168; F:GO:0008649; F:GO:1990259; C:GO:0005730; C:GO:0031428; C:GO:0032040	P:box C/D sno(s)RNA 3'-end processing; P:rRNA processing; P:rRNA methylation; F:RNA binding; F:methyltransferase activity; F:rRNA methyltransferase activity; F:histone H2AQ104 methyltransferase activity; C:nucleolus; C:box C/D methylation guide snoRNP complex; C:small-subunit processome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16018	Mediator of RNA polymerase II transcription subunit 36a	573	20	3.23E-79	89.82	9	P:GO:0000494; P:GO:0006338; P:GO:0031167; F:GO:0003723; F:GO:0008649; F:GO:1990259; C:GO:0016020; C:GO:0031428; C:GO:0032040	P:box C/D sno(s)RNA 3'-end processing; P:chromatin remodeling; P:rRNA methylation; F:RNA binding; F:rRNA methyltransferase activity; F:histone H2AQ104 methyltransferase activity; C:membrane; C:box C/D methylation guide snoRNP complex; C:small-subunit processome	EC:2.1.1	Transferring one-carbon groups	IPR000692 (PRINTS); G3DSA:3.30.200.20:FF:000056 (FUNFAM); G3DSA:3.30.200.20 (GENE3D); NF003276 (NCBIFAM); IPR000692 (PFAM); IPR029063 (G3DSA:3.40.50.GENE3D); PIRSR017269-1 (PIRSR); PTHR10335 (PANTHER); IPR020813 (PROSITE_PATTERNS); IPR029063 (SUPERFAMILY)	P:GO:0000494; P:GO:0006364; P:GO:0031167; F:GO:0003723; F:GO:0008168; F:GO:0008649; F:GO:1990259; C:GO:0005730; C:GO:0031428; C:GO:0032040	P:box C/D sno(s)RNA 3'-end processing; P:rRNA processing; P:rRNA methylation; F:RNA binding; F:methyltransferase activity; F:rRNA methyltransferase activity; F:histone H2AQ104 methyltransferase activity; C:nucleolus; C:box C/D methylation guide snoRNP complex; C:small-subunit processome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16019	vacuolar protein sorting-associated protein 53 A isoform X1	2451	20	0.0	94.63	4	P:GO:0042147; C:GO:0000938; C:GO:0005829; C:GO:0010008	P:retrograde transport, endosome to Golgi; C:GARP complex; C:cytosol; C:endosome membrane			G3DSA:1.10.357.110:FF:000002 (FUNFAM); IPR007234 (PFAM); IPR038260 (G3DSA:1.10.357.GENE3D); IPR031745 (PFAM); IPR039766 (PANTHER)	P:GO:0042147; C:GO:0000938	P:retrograde transport, endosome to Golgi; C:GARP complex
true	[INTERPRO, BLASTED]	g16020	BAHD acyltransferase DCR	1347	1	2.79E-300	95.11						G3DSA:3.30.559.10:FF:000008 (FUNFAM); IPR023213 (G3DSA:3.30.559.GENE3D); IPR023213 (G3DSA:3.30.559.GENE3D); PF02458 (PFAM); IPR051283 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g16021	N6-adenosine-methyltransferase non-catalytic subunit MTB-like	3408	1	0.0	96.74	5	P:GO:0032259; F:GO:0003729; F:GO:0008168; C:GO:0005634; C:GO:0036396	P:methylation; F:mRNA binding; F:methyltransferase activity; C:nucleus; C:RNA N6-methyladenosine methyltransferase complex			IPR007757 (PFAM); IPR045123 (PANTHER); IPR002052 (PROSITE_PATTERNS); IPR007757 (PROSITE_PROFILES); PS51592 (PROSITE_PROFILES); IPR029063 (SUPERFAMILY)	P:GO:0032259; P:GO:0080009; F:GO:0003676; F:GO:0003729; F:GO:0008168; C:GO:0005634; C:GO:0036396	P:methylation; P:obsolete mRNA methylation; F:nucleic acid binding; F:mRNA binding; F:methyltransferase activity; C:nucleus; C:RNA N6-methyladenosine methyltransferase complex
true	[INTERPRO, BLASTED]	g16022	sec-independent protein translocase protein TATB, chloroplastic isoform X1	1518	4	3.37E-118	58.85						PTHR33162 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g16023	uncharacterized protein LOC127807720	1365	1	0.0	96.04						IPR040420 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g16024	silicon efflux transporter LSI2	1647	1	0.0	96.89	2	P:GO:0055085; C:GO:0016020	P:transmembrane transport; C:membrane			IPR004680 (PFAM); PTHR43302 (PANTHER); cd01117 (CDD)	P:GO:0055085; C:GO:0016020	P:transmembrane transport; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g16025	mitogen-activated protein kinase kinase kinase YODA-like	2634	1	0.0	95.9	5	P:GO:0000165; P:GO:0006468; F:GO:0004709; F:GO:0005524; C:GO:0005737	P:MAPK cascade; P:protein phosphorylation; F:MAP kinase kinase kinase activity; F:ATP binding; C:cytoplasm			G3DSA:1.10.510.10:FF:000186 (FUNFAM); IPR000719 (PFAM); G3DSA:1.10.510.10 (GENE3D); PIRSR000619-2 (PIRSR); PIRSR037281-2 (PIRSR); PIRSR637770-1 (PIRSR); PIRSR000624-1 (PIRSR); PIRSR000632-1 (PIRSR); PIRSR000631-1 (PIRSR); PIRSR037993-1 (PIRSR); PIRSR500948-1 (PIRSR); PIRSR630220-2 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR628788-2 (PIRSR); PIRSR037568-2 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR038189-1 (PIRSR); PIRSR620777-50 (PIRSR); PIRSR500951-2 (PIRSR); PIRSR500950-50 (PIRSR); PIRSR000605-50 (PIRSR); PIRSR630616-1 (PIRSR); PIRSR630616-2 (PIRSR); PIRSR000559-1 (PIRSR); PIRSR000660-2 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR000550-3 (PIRSR); PIRSR000628-1 (PIRSR); PIRSR000617-1 (PIRSR); PIRSR000559-2 (PIRSR); PIRSR000661-51 (PIRSR); PIRSR000666-1 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR000554-1 (PIRSR); PIRSR037014-2 (PIRSR); PIRSR037993-2 (PIRSR); PIRSR000554-2 (PIRSR); PIRSR000605-51 (PIRSR); PIRSR037568-1 (PIRSR); PIRSR000606-51 (PIRSR); PIRSR630220-1 (PIRSR); PIRSR037281-1 (PIRSR); PIRSR037014-1 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR500948-2 (PIRSR); PIRSR000624-2 (PIRSR); PIRSR000550-1 (PIRSR); PIRSR000604-1 (PIRSR); PIRSR000619-1 (PIRSR); PIRSR000556-2 (PIRSR); PIRSR500947-50 (PIRSR); PIRSR038189-2 (PIRSR); PIRSR038165-50 (PIRSR); PIRSR000620-2 (PIRSR); PIRSR000551-51 (PIRSR); PIRSR000661-50 (PIRSR); PIRSR628788-1 (PIRSR); PIRSR037921-2 (PIRSR); PIRSR630616-3 (PIRSR); PIRSR037281-3 (PIRSR); PIRSR000551-50 (PIRSR); PIRSR038172-2 (PIRSR); PIRSR037393-1 (PIRSR); PIRSR037921-1 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR000620-1 (PIRSR); PIRSR000552-1 (PIRSR); PIRSR000660-1 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR000556-1 (PIRSR); PIRSR038172-1 (PIRSR); PIRSR600239-51 (PIRSR); PIRSR000552-2 (PIRSR); PIRSR000604-2 (PIRSR); PIRSR037393-2 (PIRSR); PIRSR000636-1 (PIRSR); IPR050538 (PANTHER); IPR017441 (PROSITE_PATTERNS); IPR000719 (PROSITE_PROFILES); cd06632 (CDD); IPR011009 (SUPERFAMILY)	P:GO:0000165; P:GO:0006468; F:GO:0004672; F:GO:0004709; F:GO:0005524; C:GO:0005737	P:MAPK cascade; P:protein phosphorylation; F:protein kinase activity; F:MAP kinase kinase kinase activity; F:ATP binding; C:cytoplasm
true	[INTERPRO, BLASTED]	g16026	short-chain dehydrogenase TIC 32, chloroplastic-like	969	1	3.39E-214	96.89						IPR002347 (PRINTS); IPR002347 (PRINTS); IPR002347 (PFAM); G3DSA:3.40.50.720 (GENE3D); PIRSR614007-2 (PIRSR); PIRSR614007-1 (PIRSR); PIRSR611284-2 (PIRSR); IPR055280 (PANTHER); cd05327 (CDD); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g16027	short-chain dehydrogenase TIC 32, chloroplastic-like isoform X1	945	1	5.85E-195	93.29						IPR002347 (PRINTS); IPR002347 (PRINTS); G3DSA:3.40.50.720 (GENE3D); IPR002347 (PFAM); PIRSR611284-2 (PIRSR); PIRSR614007-1 (PIRSR); PIRSR614007-2 (PIRSR); IPR055280 (PANTHER); cd05327 (CDD); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g16028	protein FAR1-RELATED SEQUENCE 5-like	477	5	2.12E-47	66.63						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	g16029	short-chain dehydrogenase TIC 32, chloroplastic-like isoform X1	1713	1	1.06E-152	57.25						G3DSA:3.40.50.720 (GENE3D); IPR055280 (PANTHER); IPR036291 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16030	SKP1-like protein 21 isoform X2	2136	20	2.25E-141	55.42	1	P:GO:0006511	P:ubiquitin-dependent protein catabolic process			Coil (COILS); Coil (COILS); G3DSA:3.30.710.10:FF:000022 (FUNFAM); IPR016072 (PFAM); IPR011333 (G3DSA:3.30.710.GENE3D); IPR016897 (PANTHER); IPR036296 (SUPERFAMILY); IPR011333 (SUPERFAMILY); IPR036296 (SUPERFAMILY); IPR011333 (SUPERFAMILY)	P:GO:0006511	P:ubiquitin-dependent protein catabolic process
true	[INTERPRO, BLASTED]	g16031	uncharacterized protein LOC127809479	756	1	6.64E-165	96.43						IPR056635 (PFAM); PTHR33829 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g16032	uncharacterized protein LOC127807449	4251	2	0.0	71.7						Coil (COILS); PTHR36055 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g16033	U-box domain-containing protein 32-like isoform X1	4953	6	2.83E-255	78.93	5	P:GO:0006468; P:GO:0016567; F:GO:0004672; F:GO:0004842; F:GO:0005524	P:protein phosphorylation; P:protein ubiquitination; F:protein kinase activity; F:ubiquitin-protein transferase activity; F:ATP binding			Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR013083 (G3DSA:3.30.40.GENE3D); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); G3DSA:1.10.510.10 (GENE3D); IPR001245 (PFAM); IPR003613 (PFAM); PIRSR630616-2 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR628788-2 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR000624-2 (PIRSR); PIRSR037393-2 (PIRSR); PIRSR038189-2 (PIRSR); PIRSR037393-3 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR630220-2 (PIRSR); PIRSR000617-4 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR000619-2 (PIRSR); PIRSR500951-2 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR000556-2 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR037921-2 (PIRSR); PIRSR000620-2 (PIRSR); PIRSR630616-3 (PIRSR); IPR051348 (PANTHER); IPR017441 (PROSITE_PATTERNS); IPR003613 (PROSITE_PROFILES); IPR000719 (PROSITE_PROFILES); cd16655 (CDD); SSF57850 (SUPERFAMILY); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	P:GO:0006468; P:GO:0016567; F:GO:0004672; F:GO:0004842; F:GO:0005524	P:protein phosphorylation; P:protein ubiquitination; F:protein kinase activity; F:ubiquitin-protein transferase activity; F:ATP binding
true	[INTERPRO, BLASTED]	g16034	uncharacterized protein At3g49055 isoform X2	1482	2	3.63E-315	94.91						Coil (COILS); Coil (COILS); Coil (COILS); Coil (COILS); IPR040300 (PANTHER); SSF57997 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16035	hypothetical protein CsSME_00001765	4116	4	2.82E-109	63.35	7	P:GO:0007018; P:GO:0007052; P:GO:0051231; F:GO:0003777; F:GO:0005524; F:GO:0008017; C:GO:0005875	P:microtubule-based movement; P:mitotic spindle organization; P:spindle elongation; F:microtubule motor activity; F:ATP binding; F:microtubule binding; C:microtubule associated complex	EC:5.6.1	Isomerases altering macromolecular conformation	IPR001752 (PFAM); IPR036961 (G3DSA:3.40.850.GENE3D); IPR027640 (PANTHER); IPR001752 (PROSITE_PROFILES); IPR027417 (SUPERFAMILY)	P:GO:0007018; P:GO:0007052; P:GO:0051231; F:GO:0003777; F:GO:0005524; F:GO:0008017; C:GO:0005875	P:microtubule-based movement; P:mitotic spindle organization; P:spindle elongation; F:microtubule motor activity; F:ATP binding; F:microtubule binding; C:microtubule associated complex
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16036	hypothetical protein CsSME_00025672	228	10	1.86E-29	85.85	2	P:GO:0006338; C:GO:0031011	P:chromatin remodeling; C:Ino80 complex			PTHR36856 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16037	Gibberellin 20-oxidase-like protein	609	18	1.95E-113	88.73	3	F:GO:0016705; F:GO:0046872; F:GO:0051213	F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:metal ion binding; F:dioxygenase activity	EC:1.14	Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O2	PR00682 (PRINTS); IPR027443 (G3DSA:2.60.120.GENE3D); IPR026992 (PFAM); IPR050231 (PANTHER); SSF51197 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g16038	probable prolyl 4-hydroxylase 12	948	1	8.63E-215	96.18	3	P:GO:0018401; F:GO:0004656; C:GO:0005783	P:peptidyl-proline hydroxylation to 4-hydroxy-L-proline; F:procollagen-proline 4-dioxygenase activity; C:endoplasmic reticulum			G3DSA:2.60.120.620 (GENE3D); IPR045054 (PANTHER); IPR003582 (PROSITE_PROFILES)	P:GO:0018401; F:GO:0004656; C:GO:0005783	P:peptidyl-proline hydroxylation to 4-hydroxy-L-proline; F:procollagen-proline 4-dioxygenase activity; C:endoplasmic reticulum
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16039	uncharacterized protein LOC127788864	1353	20	9.0E-300	92.59	1	P:GO:0016042	P:lipid catabolic process			Coil (COILS); IPR029058 (G3DSA:3.40.50.GENE3D); IPR002921 (PFAM); IPR005592 (PFAM); PTHR46398 (PANTHER); cd00519 (CDD); IPR029058 (SUPERFAMILY)	P:GO:0006629; P:GO:0016042	P:lipid metabolic process; P:lipid catabolic process
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16040	cleavage and polyadenylation specificity factor subunit 2 isoform X1	2220	19	0.0	94.01	3	P:GO:0006398; F:GO:0003723; C:GO:0005847	P:mRNA 3'-end processing by stem-loop binding and cleavage; F:RNA binding; C:mRNA cleavage and polyadenylation specificity factor complex			Coil (COILS); G3DSA:3.60.15.10:FF:000008 (FUNFAM); IPR025069 (PFAM); IPR036866 (G3DSA:3.60.15.GENE3D); IPR001279 (PFAM); IPR011108 (PFAM); IPR022712 (PFAM); IPR027075 (PANTHER); IPR035639 (CDD); IPR036866 (SUPERFAMILY)	P:GO:0006378; P:GO:0006398; P:GO:0098789; F:GO:0003723; C:GO:0005847	P:obsolete mRNA polyadenylation; P:mRNA 3'-end processing by stem-loop binding and cleavage; P:obsolete pre-mRNA cleavage required for polyadenylation; F:RNA binding; C:mRNA cleavage and polyadenylation specificity factor complex
true	[INTERPRO, BLASTED]	g16041	uncharacterized protein LOC127813411 isoform X1	2850	1	0.0	95.19						Coil (COILS); Coil (COILS); Coil (COILS); PTHR33740 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16042	60S ribosomal protein L36-2-like	333	20	1.72E-71	99.41	4	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:1990904	P:translation; F:structural constituent of ribosome; C:ribosome; C:ribonucleoprotein complex			G3DSA:1.10.10.1760:FF:000001 (FUNFAM); IPR000509 (PFAM); IPR038097 (G3DSA:1.10.10.GENE3D); IPR000509 (PANTHER); IPR000509 (PROSITE_PATTERNS)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16043	signal peptide peptidase-like 1	1116	15	8.62E-260	93.91	6	P:GO:0006465; P:GO:0033619; F:GO:0042500; C:GO:0030660; C:GO:0098553; C:GO:0098554	P:signal peptide processing; P:membrane protein proteolysis; F:aspartic endopeptidase activity, intramembrane cleaving; C:Golgi-associated vesicle membrane; C:lumenal side of endoplasmic reticulum membrane; C:cytoplasmic side of endoplasmic reticulum membrane	EC:3.4.23	Acting on peptide bonds (peptidases)	IPR007369 (PFAM); IPR007369 (PANTHER)	P:GO:0006465; P:GO:0033619; F:GO:0042500; C:GO:0016020; C:GO:0030660; C:GO:0098553; C:GO:0098554	P:signal peptide processing; P:membrane protein proteolysis; F:aspartic endopeptidase activity, intramembrane cleaving; C:membrane; C:Golgi-associated vesicle membrane; C:lumenal side of endoplasmic reticulum membrane; C:cytoplasmic side of endoplasmic reticulum membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g16044	pectin acetylesterase 9	2460	1	1.25E-218	53.57	1	F:GO:0016787	F:hydrolase activity			IPR004963 (PFAM); IPR004963 (PANTHER)	F:GO:0016787	F:hydrolase activity
true	[INTERPRO, BLASTED]	g16045	tripeptidyl-peptidase 2 isoform X1	8013	3	0.0	59.78						Coil (COILS); IPR046939 (G3DSA:1.25.40.GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g16046	cytokinin hydroxylase-like	1554	2	0.0	94.58	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR002401 (PRINTS); IPR001128 (PRINTS); IPR036396 (G3DSA:1.10.630.GENE3D); IPR001128 (PFAM); PIRSR602402-1 (PIRSR); PIRSR000047-1 (PIRSR); PIRSR602403-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR000209-1 (PIRSR); IPR050665 (PANTHER); IPR017972 (PROSITE_PATTERNS); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	g16047	cytokinin hydroxylase-like	723	1	1.34E-55	83.62	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR002401 (PRINTS); IPR001128 (PFAM); IPR036396 (G3DSA:1.10.630.GENE3D); PIRSR000047-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR000209-1 (PIRSR); PIRSR602403-1 (PIRSR); PIRSR602402-1 (PIRSR); IPR050665 (PANTHER); IPR017972 (PROSITE_PATTERNS); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16048	signal peptidase complex subunit 3B	267	20	9.09E-31	92.64	3	P:GO:0006465; P:GO:0045047; C:GO:0005787	P:signal peptide processing; P:protein targeting to ER; C:signal peptidase complex			IPR007653 (PFAM); IPR007653 (PANTHER)	P:GO:0006465; P:GO:0045047; C:GO:0005787; C:GO:0016020	P:signal peptide processing; P:protein targeting to ER; C:signal peptidase complex; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g16049	cytokinin hydroxylase-like	1554	2	0.0	94.1	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR002401 (PRINTS); IPR001128 (PRINTS); IPR001128 (PFAM); IPR036396 (G3DSA:1.10.630.GENE3D); PIRSR000047-1 (PIRSR); PIRSR000209-1 (PIRSR); PIRSR602402-1 (PIRSR); PIRSR602399-1 (PIRSR); PIRSR602403-1 (PIRSR); IPR050665 (PANTHER); IPR017972 (PROSITE_PATTERNS); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	g16050	cytokinin hydroxylase-like	1569	2	0.0	93.33	4	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding			IPR001128 (PRINTS); IPR002401 (PRINTS); IPR036396 (G3DSA:1.10.630.GENE3D); IPR001128 (PFAM); PIRSR000209-1 (PIRSR); PIRSR000047-1 (PIRSR); PIRSR602403-1 (PIRSR); PIRSR602402-1 (PIRSR); PIRSR602399-1 (PIRSR); IPR050665 (PANTHER); IPR017972 (PROSITE_PATTERNS); IPR036396 (SUPERFAMILY)	F:GO:0004497; F:GO:0005506; F:GO:0016705; F:GO:0020037	F:monooxygenase activity; F:iron ion binding; F:oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; F:heme binding
true	[INTERPRO, BLASTED, ANNOTATED]	g16051	uncharacterized protein LOC127790540 isoform X1	1578	2	0.0	97.24	3	P:GO:0006351; F:GO:0003697; C:GO:0005666	P:DNA-templated transcription; F:single-stranded DNA binding; C:RNA polymerase III complex			Coil (COILS); G3DSA:1.10.10.10:FF:000218 (FUNFAM); G3DSA:1.10.10.10:FF:000420 (FUNFAM); G3DSA:1.10.10.10:FF:000515 (FUNFAM); IPR008806 (PFAM); IPR055207 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); IPR013197 (PFAM); IPR036388 (G3DSA:1.10.10.GENE3D); IPR036388 (G3DSA:1.10.10.GENE3D); IPR039748 (PANTHER)	P:GO:0006351; F:GO:0003677; F:GO:0003697; C:GO:0005666	P:DNA-templated transcription; F:DNA binding; F:single-stranded DNA binding; C:RNA polymerase III complex
true	[INTERPRO, BLASTED]	g16052	uncharacterized protein LOC127812305	564	1	2.3E-123	96.26						IPR009489 (PFAM); IPR009489 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16053	probable CoA ligase CCL9	1572	20	0.0	92.75	5	P:GO:0006631; P:GO:0009698; F:GO:0016207; F:GO:0031956; C:GO:0016020	P:fatty acid metabolic process; P:phenylpropanoid metabolic process; F:4-coumarate-CoA ligase activity; F:medium-chain fatty acid-CoA ligase activity; C:membrane	EC:6.2.1.12; EC:6.2.1.2	4-coumarate--CoA ligase; medium-chain acyl-CoA ligase	G3DSA:3.40.50.12780:FF:000039 (FUNFAM); G3DSA:3.30.300.30:FF:000007 (FUNFAM); IPR042099 (G3DSA:3.40.50.GENE3D); IPR025110 (PFAM); IPR045851 (G3DSA:3.30.300.GENE3D); IPR000873 (PFAM); PTHR43201 (PANTHER); IPR020845 (PROSITE_PATTERNS); IPR045310 (CDD); SSF56801 (SUPERFAMILY)	P:GO:0006631; F:GO:0016874; F:GO:0031956	P:fatty acid metabolic process; F:ligase activity; F:medium-chain fatty acid-CoA ligase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g16054	hypothetical protein SADUNF_Sadunf01G0083500	129	20	5.95E-17	98.1	6	P:GO:0006631; P:GO:0009698; F:GO:0005524; F:GO:0016207; F:GO:0031956; C:GO:0005829	P:fatty acid metabolic process; P:phenylpropanoid metabolic process; F:ATP binding; F:4-coumarate-CoA ligase activity; F:medium-chain fatty acid-CoA ligase activity; C:cytosol	EC:6.2.1.12; EC:6.2.1.2	4-coumarate--CoA ligase; medium-chain acyl-CoA ligase	no IPS match	no IPS match	no IPS match
